,"Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$","Current health expenditure (CHE) per capita in PPP int$"
"Country","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","","174.7","183.9","176.9","164.2","144.0","138.8","132.3","143.8","127.6","104.7","111.3","98.6","87.7","80.9","79.8","",""
"Algeria","974.8","992.6","1022.9","932.8","829.6","804.9","684.3","645.1","656.0","510.9","452.5","380.1","354.9","360.6","346.4","332.3","322.9","282.3"
"Andorra","5237.2","4990.4","5093.2","4963.5","4652.2","4414.7","4010.3","3937.5","3966.1","3983.9","4098.1","3974.6","3741.4","3350.2","3277.3","3284.2","3143.0","3049.0"
"Angola","185.9","183.5","185.1","175.4","190.9","162.3","167.9","167.8","233.6","206.0","168.6","134.8","129.0","156.6","127.4","117.9","174.0","71.8"
"Antigua and Barbuda","1070.8","986.5","1007.5","1081.8","1057.5","1007.8","985.5","976.3","891.2","1017.4","1082.6","968.5","897.8","874.4","899.4","785.4","755.8","671.3"
"Argentina","1916.5","1521.1","1794.3","1640.3","1691.4","1657.0","1648.2","1578.8","1497.0","1358.5","1283.3","1149.4","1051.4","898.4","864.5","844.4","1068.6","1085.1"
"Armenia","1001.1","880.0","885.6","857.3","827.4","699.3","658.4","606.4","533.8","482.0","363.1","328.0","279.5","244.1","253.5","229.9","121.4","97.2"
"Australia","4816.2","4634.7","4413.7","4305.8","4179.1","3792.1","3770.5","3595.0","3555.7","3295.7","3177.6","3007.0","2833.4","2745.9","2548.6","2429.0","2267.6","2147.5"
"Austria","5617.4","5404.5","5206.0","5082.5","4945.4","4750.6","4465.7","4299.5","4189.3","4024.8","3760.6","3592.1","3381.7","3288.1","3073.5","2935.8","2761.8","2707.2"
"Azerbaijan","1163.9","1155.0","1201.3","968.9","872.6","796.4","712.3","746.7","777.0","555.4","572.2","556.7","523.8","392.6","289.5","159.8","143.1","136.3"
"Bahamas","1756.1","1810.1","1733.6","1771.5","1803.9","1811.9","1750.5","1695.8","1681.2","1728.9","1687.8","1610.2","1341.4","1286.0","1184.4","1144.7","1082.0","1054.5"
"Bahrain","2265.3","2294.8","2333.9","2041.4","1908.0","1714.3","1436.7","1527.2","1598.6","1332.0","1330.4","1199.1","1221.2","1298.6","1445.8","1363.2","1340.4","1268.5"
"Bangladesh","94.3","88.7","88.3","83.4","78.1","75.8","71.0","64.1","58.0","53.8","51.8","46.3","41.8","37.4","34.5","32.4","28.6","27.6"
"Barbados","1343.2","1323.9","1262.5","1252.1","1311.2","1291.9","1135.6","1089.9","1134.1","1070.4","984.3","1038.1","954.7","964.6","848.4","716.1","661.5","641.3"
"Belarus","1129.1","1072.1","1115.9","1019.9","1040.8","933.3","837.2","880.5","787.2","789.9","753.7","659.3","630.3","524.5","457.7","405.8","383.6","329.5"
"Belgium","5119.1","4873.9","4702.4","4657.1","4531.0","4368.6","4199.1","4015.6","3867.8","3574.8","3312.5","3164.6","3011.7","2948.7","2833.5","2524.6","2352.5","2225.5"
"Belize","481.0","513.4","505.2","474.5","460.9","432.9","442.6","444.3","437.4","386.3","375.0","338.4","328.0","309.5","308.2","268.1","269.9","228.2"
"Benin","84.7","83.7","84.7","77.1","78.4","88.3","76.9","72.9","68.4","65.1","67.2","65.3","62.0","63.7","60.4","59.1","61.1","55.9"
"Bhutan","290.4","292.7","288.2","254.0","255.6","237.1","206.2","201.4","185.6","168.7","188.4","175.4","152.2","159.2","134.2","136.8","137.5","116.6"
"Bolivia (Plurinational State of)","491.7","494.9","456.9","394.1","352.1","310.2","289.6","275.6","264.3","229.7","220.0","206.8","212.1","191.9","195.0","178.6","172.2","153.7"
"Bosnia and Herzegovina","1172.4","1139.4","1088.1","1055.7","1025.7","965.2","908.1","838.7","811.8","854.4","755.6","655.5","569.1","536.2","435.7","368.3","346.9","350.2"
"Botswana","1044.3","924.1","920.2","921.5","983.7","872.8","785.4","791.9","772.6","748.4","647.9","530.1","507.2","549.9","563.0","556.1","502.1","470.6"
"Brazil","1472.2","1401.0","1392.6","1363.8","1276.4","1192.0","1166.1","1131.5","1109.1","1062.3","1025.3","957.1","879.8","844.9","793.4","827.4","787.8","751.0"
"Brunei Darussalam","1875.0","1975.2","1901.8","1539.2","1556.6","1546.7","1536.7","1797.7","2040.3","1635.3","1712.3","1656.4","1828.1","2047.0","2056.8","1944.3","1889.0","1835.7"
"Bulgaria","1689.7","1599.1","1486.8","1485.7","1300.4","1227.3","1115.3","1057.4","932.7","898.3","785.6","740.9","706.4","631.2","603.0","549.1","469.3","373.5"
"Burkina Faso","129.1","124.4","99.3","94.1","101.4","80.3","77.0","82.2","77.0","70.0","74.2","60.8","50.1","49.1","35.1","31.1","29.6","28.3"
"Burundi","59.2","58.9","48.5","60.4","66.9","64.5","73.7","80.2","71.2","63.0","69.8","63.9","51.5","46.7","36.7","38.6","37.0","35.0"
"Cabo Verde","357.1","319.9","304.4","333.7","327.2","313.2","258.0","255.5","218.1","204.6","222.3","227.6","198.2","184.1","168.1","170.0","161.9","147.3"
