,"Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Country","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","67.1","61.5","60.1","60.1","56.0","52.2","51.6","45.6","42.3","38.7","31.8","28.4","24.4","20.9","17.5","16.2","",""
"Algeria","258.5","260.4","290.5","357.9","330.2","333.9","286.2","228.4","207.3","206.1","150.4","116.2","100.3","92.1","75.4","66.2","66.5","61.3"
"Andorra","4040.8","3843.7","3695.1","4346.3","4107.7","3857.2","4013.9","3754.7","3911.9","4201.7","4094.5","3689.7","3536.1","3161.5","2774.1","2256.3","2081.3","2050.6"
"Angola","114.5","95.2","108.7","131.8","143.7","122.2","122.1","96.6","119.8","135.2","92.5","69.4","53.9","49.5","34.7","29.0","28.9","13.0"
"Antigua and Barbuda","673.9","632.2","639.6","677.6","660.6","649.8","632.0","631.6","575.3","650.1","675.7","598.3","569.3","547.9","569.6","512.3","497.1","444.9"
"Argentina","1324.6","959.3","1305.4","1089.5","1206.9","1168.1","1068.6","891.1","742.8","694.7","551.8","447.4","390.1","309.7","260.8","222.6","671.5","705.2"
"Armenia","407.6","358.8","366.0","406.6","396.8","336.6","330.7","297.2","252.8","266.3","172.6","126.2","96.4","72.2","66.8","59.6","32.3","26.1"
"Australia","5331.8","4999.8","4887.8","5637.6","5838.4","6047.1","5876.9","4952.8","3997.5","4088.8","3794.3","3177.5","3004.1","2757.6","2241.0","1763.7","1558.2","1632.4"
"Austria","4939.9","4718.9","4611.0","5386.4","5233.9","4966.4","5161.1","4796.1","4909.2","5037.4","4472.8","3879.5","3708.9","3588.2","3084.3","2486.1","2280.5","2263.5"
"Azerbaijan","275.8","259.4","370.5","432.9","399.4","368.7","325.1","279.3","258.2","224.4","176.7","140.1","115.3","73.9","51.7","27.8","25.6","25.3"
"Bahamas","1771.5","1837.3","1741.9","1689.1","1697.3","1742.8","1661.7","1657.6","1670.0","1748.5","1714.8","1631.4","1389.4","1308.7","1223.8","1192.6","1101.0","1093.6"
"Bahrain","1127.2","1099.4","1128.8","1101.0","1066.4","971.2","805.2","796.3","785.3","757.8","693.0","591.3","570.3","550.4","567.2","503.0","484.9","485.7"
"Bangladesh","36.3","33.5","31.8","28.8","25.9","22.7","22.2","20.2","17.4","15.3","13.9","12.0","11.3","10.7","10.0","9.1","8.1","8.3"
"Barbados","1183.8","1163.8","1158.4","1177.8","1258.1","1273.4","1145.2","1097.6","1146.4","1117.5","1025.0","1009.5","943.5","922.7","787.9","670.7","623.5","604.5"
"Belarus","342.5","297.5","361.0","447.7","453.8","363.8","318.0","341.8","289.1","349.7","279.4","222.5","197.1","141.9","109.2","86.5","73.9","57.3"
"Belgium","4507.4","4278.8","4171.1","4944.3","4849.9","4614.7","4856.2","4449.5","4566.8","4539.7","3988.9","3474.4","3340.0","3255.4","2804.9","2074.9","1878.3","1845.3"
"Belize","280.5","300.2","289.6","273.1","266.3","249.5","254.4","250.3","246.5","226.4","218.1","192.7","184.3","174.8","175.2","160.0","160.8","139.3"
"Benin","30.8","30.4","31.3","34.4","35.8","39.1","34.9","31.0","30.6","30.2","27.9","25.4","24.1","24.5","21.5","17.4","16.8","15.8"
"Bhutan","96.8","91.3","91.1","82.3","81.9","80.1","74.5","69.8","58.0","56.4","63.9","54.1","47.2","46.8","38.0","36.7","36.8","31.8"
"Bolivia (Plurinational State of)","220.3","213.0","201.6","184.2","164.3","139.0","123.0","103.1","91.9","80.0","65.3","57.5","53.1","47.6","47.7","44.7","46.2","44.3"
"Bosnia and Herzegovina","460.5","443.8","428.2","492.1","477.8","447.6","463.5","415.9","423.8","481.7","386.9","302.4","261.8","243.4","180.4","126.9","111.8","113.0"
"Botswana","465.9","386.6","373.8","419.5","435.8","472.3","432.3","393.1","338.4","325.1","304.7","256.8","268.6","283.7","257.1","196.2","192.6","195.1"
"Brazil","928.8","795.7","776.2","1009.8","974.5","950.9","1025.5","891.8","718.0","704.0","599.9","483.4","383.3","294.4","250.5","246.1","269.3","311.7"
"Brunei Darussalam","671.4","686.5","739.2","795.0","846.6","882.0","876.4","803.5","741.6","789.0","702.9","654.7","646.1","619.1","535.1","473.1","464.7","508.4"
"Bulgaria","663.7","612.5","572.0","666.4","600.3","558.6","555.9","484.8","459.3","455.5","361.2","294.1","267.7","233.1","195.7","148.1","119.8","94.5"
"Burkina Faso","44.4","41.0","33.5","39.6","43.8","34.9","34.9","33.9","31.6","29.8","28.0","21.4","18.1","17.6","11.7","8.7","7.7","7.5"
"Burundi","23.5","22.3","19.4","20.4","21.8","21.3","24.9","26.1","21.6","18.1","18.1","16.5","12.7","9.8","7.1","7.9","8.6","8.4"
"Cabo Verde","167.6","149.3","144.4","188.2","188.2","174.0","158.1","148.2","132.6","130.3","130.3","115.5","98.2","95.8","87.1","71.4","65.9","62.0"
"Cambodia","82.1","77.7","72.1","73.3","72.0","69.1","66.2","54.3","56.0","49.2","31.0","33.0","32.5","29.0","25.2","24.6","22.6","19.7"
"Cameroon","67.8","65.1","63.6","71.2","67.3","62.7","48.6","59.0","58.0","61.5","50.6","44.4","42.7","41.6","38.9","31.3","27.7","26.3"
"Canada","4754.9","4518.1","4539.1","5081.6","5345.3","5408.9","5361.2","5044.1","4347.7","4453.6","4190.4","3767.3","3282.9","2913.4","2551.5","2150.9","2054.4","1998.6"
"Central African Republic","24.2","16.4","22.0","18.3","16.3","18.7","18.8","16.7","19.6","18.4","18.9","15.5","15.4","13.0","12.9","10.5","9.2","10.4"
"Chad","29.7","34.6","35.3","44.0","40.2","37.6","38.7","36.5","35.9","37.9","35.0","34.8","32.1","28.3","18.2","18.2","11.8","10.3"
"Chile","1382.0","1190.5","1140.1","1154.8","1186.8","1083.5","995.8","871.3","738.5","726.7","650.1","572.4","501.8","428.6","351.1","324.3","328.6","358.8"
"China","440.8","398.3","392.8","361.7","328.2","283.5","237.9","187.7","163.7","132.8","97.7","81.8","72.4","63.7","56.0","49.5","43.9","42.4"
"Colombia","459.2","419.3","444.1","569.9","585.8","533.7","489.4","441.3","374.1","369.0","301.6","233.6","204.1","155.2","126.0","128.2","134.2","130.3"
"Comoros","58.8","57.5","58.2","68.4","68.9","65.3","78.6","67.1","68.1","72.4","67.7","62.4","62.4","62.6","57.4","48.3","43.3","45.6"
