,"Existence of operational policy/strategy/action plan for cancer","Existence of operational policy/strategy/action plan for cancer","Existence of operational policy/strategy/action plan for cancer","Existence of operational policy/strategy/action plan for cancer"
"Country","2019","2017","2015","2013"
"Afghanistan","Yes","Yes","No","No"
"Albania","Yes","Yes","Yes","Yes"
"Algeria","Yes","Yes","Yes","Yes"
"Andorra","Yes","No","Yes","Yes"
"Angola","No","No","No","No data received"
"Antigua and Barbuda","Yes","Yes","No","No"
"Argentina","Yes","Yes","Yes","Yes"
"Armenia","Yes","Yes","Yes","Yes"
"Australia","Yes","Yes","Yes","Yes"
"Austria","Yes","Yes","Yes","No"
"Azerbaijan","Yes","Yes","No","Yes"
"Bahamas","Yes","No","No","No"
"Bahrain","Yes","Yes","Yes","Yes"
"Bangladesh","Yes","Yes","Yes","Yes"
"Barbados","Yes","Yes","Yes","Yes"
"Belarus","Yes","Yes","No","No data received"
"Belgium","Yes","Yes","Yes","Yes"
"Belize","Yes","Yes","Yes","No"
"Benin","Yes","Yes","Yes","No"
"Bhutan","Yes","Yes","Yes","No"
"Bolivia (Plurinational State of)","Yes","No","Yes","Yes"
"Bosnia and Herzegovina","Yes","Yes","Yes","No data received"
"Botswana","Yes","No","No data received","No"
"Brazil","Yes","Yes","Yes","Yes"
"Brunei Darussalam","Yes","Yes","Yes","No"
"Bulgaria","Yes","Yes","Yes","Yes"
"Burkina Faso","Yes","Yes","Yes","No"
"Burundi","Yes","Yes","Yes","No"
"Cabo Verde","Yes","Yes","No data received","No data received"
"Cambodia","Yes","Yes","Yes","Yes"
"Cameroon","No","Yes","No","Yes"
"Canada","Yes","Yes","Yes","Yes"
"Central African Republic","Yes","Yes","No","No"
"Chad","Yes","Yes","No","No data received"
"Chile","Yes","Yes","Yes","Yes"
"China","Yes","Yes","Yes","Yes"
"Colombia","Yes","Yes","Yes","Yes"
"Comoros","don't know","No","Yes","No"
"Congo","No","Yes","Yes","Yes"
"Cook Islands","Yes","Yes","No data received","Yes"
"Costa Rica","Yes","Yes","Yes","Yes"
"Côte d'Ivoire","Yes","Yes","No data received","Yes"
"Croatia","No","No","Yes","Yes"
"Cuba","Yes","Yes","Yes","Yes"
"Cyprus","Yes","Yes","Yes","Yes"
"Czechia","Yes","Yes","Yes","Yes"
"Democratic People's Republic of Korea","Yes","Yes","Yes","Yes"
"Democratic Republic of the Congo","Yes","Yes","No data received","No data received"
"Denmark","Yes","Yes","Yes","Yes"
"Djibouti","No","No","No data received","No"
"Dominica","No","No","No","No"
"Dominican Republic","Yes","Yes","Yes","Yes"
"Ecuador","Yes","Yes","Yes","Yes"
"Egypt","Yes","Yes","No","No"
"El Salvador","Yes","Yes","No","Yes"
"Equatorial Guinea","No","No","No data received","No"
"Eritrea","Yes","Yes","Yes","Yes"
"Estonia","Yes","Yes","Yes","Yes"
"Eswatini","Yes","Yes","Yes","No"
"Ethiopia","Yes","Yes","Yes","No data received"
"Fiji","Yes","Yes","Yes","Yes"
"Finland","Yes","Yes","Yes","Yes"
"France","Yes","Yes","Yes","Yes"
