,"Existence of national screening program for breast cancer","Existence of national screening program for breast cancer","Existence of national screening program for breast cancer","Existence of national screening program for cervical cancer","Existence of national screening program for cervical cancer","Existence of national screening program for cervical cancer","Most widely used screening method in national cervical cancer screening program","Most widely used screening method in national cervical cancer screening program","Most widely used screening method in national cervical cancer screening program","Type of national cervical cancer screening program","Type of national cervical cancer screening program","Type of national cervical cancer screening program","Coverage of national cervical cancer screening program (%)","Coverage of national cervical cancer screening program (%)","Coverage of national cervical cancer screening program (%)","Existence of national HPV vaccination programme","Existence of national HPV vaccination programme","Existence of national HPV vaccination programme"
"Country","2019","2017","2015","2019","2017","2015","2019","2017","2015","2019","2017","2015","2019","2017","2015","2019","2017","2015"
"Afghanistan","No","No","No","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","No","No","No"
"Albania","Yes","Yes","Yes","Yes","Yes","No","HPV test","HPV test","Not applicable","Organized population-based screening","Opportunistic screening","Not applicable","10 to 50","10 to 50","Not applicable","No","No","No"
"Algeria","Yes","Yes","Yes","No","Yes","Yes","Not applicable","PAP smear","PAP smear","Not applicable","Organized population-based screening","Opportunistic screening","Not applicable","10 to 50","Less than 10","No","No","No"
"Andorra","Yes","Yes","Yes","No","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Yes","Yes","Yes"
"Angola","No","Yes","Yes","No","Yes","Yes","Not applicable","Visual inspection","PAP smear","Not applicable","Opportunistic screening","Organized population-based screening","Not applicable","Less than 10","10 to 50","No","Yes","Yes"
"Antigua and Barbuda","No","No","Yes","No","No","Yes","Not applicable","Not applicable","PAP smear","Not applicable","Not applicable","Opportunistic screening","Not applicable","Not applicable","Don't know","No","No","No"
"Argentina","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","HPV test","PAP smear","Organized population-based screening","Organized population-based screening","Opportunistic screening","Don't know","Don't know","Don't know","Yes","Yes","Yes"
"Armenia","Yes","Yes","Yes","Yes","Yes","Yes","PAP smear","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","10 to 50","10 to 50","10 to 50","Yes","No","No"
"Australia","Yes","Yes","Yes","Yes","Yes","Yes","HPV test","PAP smear","PAP smear","Organized population-based screening","Organized population-based screening","Organized population-based screening","more than 50 but less than 70","more than 50 but less than 70","more than 50 but less than 70","Yes","Yes","Yes"
