countryExistence of national screening program for cervical cancer,Most widely used screening method in national cervical cancer screening program,Type of national cervical cancer screening program,Coverage of national cervical cancer screening program (%),Existence of national HPV vaccination programme,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Current health expenditure (CHE) per capita in PPP int$,Current health expenditure (CHE) per capita in US$,Out-of-pocket expenditure (OOP) per capita in PPP int$,Out-of-pocket expenditure (OOP) per capita in US$,continent,Breast cancer deaths per 100000 women,Breast cancer new cases per 100000 women,Gdp pc usd inflation adjusted,Gni pc constant 2010 u,Prostate cancer deaths per 100000 men,Prostate cancer new cases per 100000 men
Afghanistan,No,,,,No,11.8,174.7,67.1,132.8,50.7,Asia,35.4,34.4,572.0,544.0,14.4,11.5
Albania,Yes,HPV test,Organized population-based screening,10 to 50,No,,,,0.0,0.0,Europe,12.0,28.6,4870.0,4880.0,21.0,36.0
Algeria,No,PAP smear,Organized population-based screening,10 to 50,No,6.4,974.8,258.5,317.3,84.1,Africa,14.4,31.1,4790.0,4700.0,7.57,11.7
Andorra,No,,,,Yes,10.3,5237.2,4040.8,2188.0,1688.1,,19.4,101.0,43900.0,,26.5,138.0
Angola,No,Visual inspection,Opportunistic screening,Less than 10,No,2.8,185.9,114.5,63.4,39.1,Africa,19.8,22.0,3410.0,3320.0,30.3,26.8
Antigua and Barbuda,No,PAP smear,Opportunistic screening,,No,4.5,1070.8,673.9,374.6,235.7,,22.5,64.4,14200.0,12700.0,77.3,195.0
Argentina,Yes,HPV test,Organized population-based screening,,Yes,9.1,1916.5,1324.6,287.8,198.9,Americas,23.8,65.7,10400.0,10100.0,27.0,66.1
Armenia,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,10.4,1001.1,407.6,844.4,343.8,,22.6,60.7,4200.0,4320.0,16.4,33.8
Australia,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,9.2,4816.2,5331.8,874.2,967.8,Oceania,17.6,94.8,56100.0,54600.0,23.8,174.0
Austria,Yes,PAP smear,Opportunistic screening,,Yes,10.4,5617.4,4939.9,1078.7,948.6,Europe,18.8,79.4,49100.0,48700.0,20.5,124.0
Azerbaijan,No,,,,No,6.7,1163.9,275.8,976.0,231.3,,11.8,37.5,5740.0,5330.0,10.2,22.6
Bahamas,No,PAP smear,Opportunistic screening,,Yes,5.8,1756.1,1771.5,544.1,548.9,,37.3,111.0,27100.0,26300.0,75.2,182.0
Bahrain,Yes,PAP smear,Opportunistic screening,Less than 10,No,4.7,2265.3,1127.2,692.1,344.4,Asia,21.7,58.0,22100.0,21000.0,14.3,27.1
Bangladesh,Yes,Visual inspection,Opportunistic screening,Less than 10,No,2.3,94.3,36.3,69.7,26.8,Asia,8.4,14.7,1130.0,1180.0,5.15,7.21
Barbados,No,,,,Yes,6.8,1343.2,1183.8,622.0,548.2,,31.1,97.2,16100.0,15700.0,74.9,201.0
Belarus,Yes,Visual inspection,Organized population-based screening,more than 50 but less than 70,No,5.9,1129.1,342.5,310.7,94.2,,14.1,42.2,6540.0,6280.0,19.2,59.3
Belgium,Yes,PAP smear,Organized population-based screening,more than 50 but less than 70,Yes,10.3,5119.1,4507.4,902.9,795.0,Europe,24.1,115.0,46700.0,47200.0,22.6,117.0
Belize,Yes,Visual inspection,Opportunistic screening,Less than 10,Yes,5.6,481.0,280.5,116.2,67.8,,14.9,26.1,4200.0,3820.0,53.9,71.3
