country,General Male Cancer Mortality (15+) per 100k,General Female Cancer Mortality (15+) per 100k
Afghanistan,170.6,142
Albania,186.4,138.2
Algeria,100.7,97.3
Andorra,,
Angola,112.5,90.9
Antigua and Barbuda,242.9,153.5
Argentina,198.5,136.7
Armenia,354.5,200.1
Australia,170.2,118.9
Austria,184.2,123.6
Azerbaijan,192.5,108.4
Bahamas,216.4,136.7
Bahrain,100.9,89.9
Bangladesh,127.7,97.6
Barbados,252,165.6
Belarus,245.3,110.4
Belgium,204.3,129.5
Belize,227.2,145.1
Benin,94.2,94.5
Bhutan,118.1,105.9
Bolivia (Plurinational State of),107.3,130.9
Bosnia and Herzegovina,207.5,115.3
Botswana,138.5,87.7
Brazil,178.1,121.2
Brunei Darussalam,220.1,167.7
Bulgaria,244.9,135
Burkina Faso,121.8,125.3
Burundi,189.1,195.9
Cabo Verde,115.8,105.8
Cambodia,211.3,145.1
Cameroon,122.9,116.7
Canada,171,132.4
Central African Republic,141.4,127.2
Chad,117.5,115.4
Chile,194.3,136.5
China,247.6,118.8
Colombia,180,147.4
Comoros,153.3,158.8
Congo,112.8,83.1
Cook Islands,,
Costa Rica,164.7,121.3
Côte d'Ivoire,146.7,129.7
Croatia,297.2,151.8
Cuba,208.3,138.2
Cyprus,192.2,107.8
Czechia,229.4,138.7
Democratic People's Republic of Korea,245.2,159.1
Democratic Republic of the Congo,160.8,132.1
Denmark,212.4,162.4
Djibouti,110.6,128.9
Dominica,,
Dominican Republic,170.9,127.5
Ecuador,129.4,123.9
Egypt,189,130.2
El Salvador,139.9,144.5
Equatorial Guinea,111.5,105.9
Eritrea,109.3,157.5
Estonia,285.6,137.8
Eswatini,208.6,119
Ethiopia,98,150.7
Fiji,109.7,113.2
Finland,162.1,111.5
France,219.3,126.1
Gabon,88.6,75.1
Gambia,108.9,89
Georgia,199.9,120.4
Germany,198.9,131
Ghana,126.4,96.1
Greece,221.3,115.8
Grenada,261.9,169.1
Guatemala,104.6,104.9
Guinea,143.8,106.6
Guinea-Bissau,137.4,116.4
Guyana,127.1,137.5
Haiti,150.2,124.8
Honduras,132.1,126.3
Hungary,322.9,178.9
Iceland,167.5,149.1
India,107.2,95.3
Indonesia,181,126.4
Iran (Islamic Republic of),153.2,111.9
Iraq,180.3,138.6
Ireland,187.3,149
Israel,174.3,127.9
Italy,191.7,120.5
Jamaica,193.5,123.3
Japan,187.2,101.6
Jordan,137.5,95
Kazakhstan,277.9,162.3
Kenya,197.1,170
Kiribati,156.8,135.8
Kuwait,159.8,153.9
Kyrgyzstan,158.6,105.6
Lao People's Democratic Republic,243.3,141.3
Latvia,292.2,142.8
Lebanon,150,126.7
Lesotho,169,99.2
Liberia,129.4,113.6
Libya,174.9,107.5
Lithuania,282.9,134.2
Luxembourg,188.9,125.4
Madagascar,206.8,144.5
Malawi,238.7,179.1
Malaysia,139.2,119.8
Maldives,133,96.2
Mali,101.2,144.5
Malta,181.6,120.8
Marshall Islands,,
Mauritania,99.5,95.4
Mauritius,110.8,99.2
Mexico,101.6,92.3
Micronesia (Federated States of),174.2,139.1
Monaco,,
Mongolia,370.8,216.8
Montenegro,255.1,152.8
Morocco,135.2,91.1
Mozambique,210.5,176.6
Myanmar,212,138.6
Namibia,135.8,78.9
Nauru,,
Nepal,107.6,105
Netherlands,216.8,157.3
New Zealand,173.8,135.6
Nicaragua,133.1,109.5
Niger,78.7,77.5
Nigeria,146.3,135.8
Niue,,
Norway,178.6,131.6
Oman,110.2,73.6
Pakistan,113.2,123.9
Palau,,
Panama,134.2,105.4
Papua New Guinea,199.9,186.5
Paraguay,167,128.7
Peru,141.5,130.8
Philippines,136,116.4
Poland,278.8,156.4
Portugal,227.3,108.8
Qatar,116.2,105.7
Republic of Korea,204,91.2
Republic of Moldova,244.7,126.3
Republic of North Macedonia,226.3,129.2
Romania,269.1,140.2
Russian Federation,298.4,153.1
Rwanda,227.5,171.4
Saint Kitts and Nevis,,
Saint Lucia,188.2,140.4
Saint Vincent and the Grenadines,256.5,160.7
Samoa,148.1,120.1
San Marino,,
Sao Tome and Principe,185.1,141.3
Saudi Arabia,82.7,73.7
Senegal,104,98.8
Serbia,261.6,155.2
Seychelles,249.5,125.2
Sierra Leone,113.8,101.5
Singapore,164.5,110.7
Slovakia,305.9,155.8
Slovenia,253.4,145
Solomon Islands,140.8,158.8
Somalia,116.3,143.8
South Africa,223,143.8
South Sudan,190.1,173.7
Spain,200.7,100.1
Sri Lanka,135.4,99.1
Sudan,131,101.2
Suriname,205.1,145.6
Sweden,160.8,128.3
Switzerland,170,112.7
Syrian Arab Republic,201.4,150.6
Tajikistan,126.6,99.1
Thailand,176.2,106.6
Timor-Leste,215.1,163.5
Togo,129.3,136.1
Tonga,257.3,163.8
Trinidad and Tobago,197.4,133.5
Tunisia,129.8,66.5
Turkey,254.4,112.7
Turkmenistan,172.2,116.5
Tuvalu,,
Uganda,285.4,184.2
Ukraine,247.2,126.2
United Arab Emirates,72.3,81.5
United Kingdom of Great Britain and Northern Ireland,189.7,143.1
United Republic of Tanzania,155.8,136.6
United States of America,178.3,133.9
Uruguay,277.5,162.5
Uzbekistan,86,74.2
Vanuatu,170.1,141.5
Venezuela (Bolivarian Republic of),165.3,127.5
Viet Nam,191.5,112.9
Yemen,107.9,90.9
Zambia,178.5,157.1
Zimbabwe,182.7,146.8
