country,Computed tomography,Magnetic resonance imaging,Positron emission tomography,Gamma camera or nuclear medicine,Linear accelerator,Telecobalt unit,Radiotherapy
Afghanistan,0.2,0.1,0.00,0.00,0.00,0.00,0.00
Albania,5.36,1.58,0.00,0.00,0.00,0.32,0.32
Algeria,NaN,NaN,NaN,NaN,0.18,0.26,0.43
Andorra,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,0.42,0.05,0.00,0.00,0.00,0.05,0.05
Antigua and Barbuda,22.23,11.11,NaN,NaN,NaN,NaN,NaN
Argentina,NaN,NaN,NaN,NaN,1.93,0.82,2.75
Armenia,3.02,2.35,0.00,1.34,0.34,1.01,1.34
Australia,NaN,NaN,NaN,NaN,4.03,NaN,4.03
Austria,28.49,16.6,2.71,NaN,5.41,NaN,5.41
Azerbaijan,1.06,0.53,0.21,NaN,1.59,NaN,1.59
Bahamas,13.25,2.65,0.00,0.00,2.65,0.00,2.65
Bahrain,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bangladesh,NaN,NaN,NaN,NaN,0.04,0.08,0.12
Barbados,7.03,0.00,0.00,3.51,0.00,3.51,3.51
Belarus,6.2,2.57,0.00,2.57,0.64,2.46,3.1
Belgium,NaN,NaN,NaN,NaN,8.19,0.09,8.28
Belize,12.05,3.01,0.00,0.00,0.00,0.00,0.00
Benin,0.29,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,1.33,1.33,0.00,0.00,0.00,0.00,0.00
Bolivia (Plurinational State of),NaN,NaN,NaN,NaN,0.09,0.47,0.56
Bosnia and Herzegovina,16.45,5.48,0.26,1.57,2.35,0.52,2.87
Botswana,0.99,0.49,0.00,0.00,0.00,0.00,0.00
Brazil,NaN,NaN,NaN,NaN,1.43,0.31,1.74
Brunei Darussalam,7.18,2.39,NaN,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN,0.69,1.38,2.08
Burkina Faso,0.65,0.06,0.00,0.06,0.00,0.00,0.00
Burundi,0.2,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,1.19,0.07,0.00,0.00,0.00,0.07,0.07
Cameroon,0.63,0.04,0.00,0.04,0.00,0.13,0.13
Canada,13.76,7.99,1.14,20.35,7.59,0.48,8.07
Cabo Verde,2.0,2.0,2.0,0.00,0.00,0.00,0.00
