,"Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$","Out-of-pocket expenditure (OOP) per capita in PPP int$"
"Country","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","","132.8","144.2","129.3","118.3","107.2","101.7","104.5","104.7","96.2","81.8","85.5","77.9","74.1","69.6","68.1","",""
"Albania","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Algeria","317.3","306.5","288.5","248.7","228.7","207.0","190.7","186.3","180.1","133.6","127.1","110.7","99.7","94.1","73.3","74.9","70.0","72.8"
"Andorra","2188.0","2085.5","2157.3","2124.6","2013.3","1937.6","1780.6","1788.9","1848.7","1928.8","2077.9","2023.9","1889.3","1773.2","1673.6","1580.2","1490.7","1460.3"
"Angola","63.4","64.6","62.0","47.1","40.8","28.6","30.2","32.5","36.2","44.6","47.9","41.3","54.6","73.5","61.8","58.5","78.5","19.6"
"Antigua and Barbuda","374.6","313.0","261.8","300.3","285.1","283.4","260.0","249.0","214.7","310.7","332.8","291.4","244.2","206.9","200.7","174.0","177.0","156.3"
"Argentina","287.8","243.1","247.4","238.8","245.2","233.8","296.6","311.2","337.4","348.1","375.6","363.3","347.7","248.2","244.2","253.3","315.0","315.8"
"Armenia","844.4","709.7","722.9","707.1","685.7","549.5","516.3","470.7","393.1","344.3","211.4","200.6","175.9","174.7","193.7","173.0","61.8","60.3"
"Australia","874.2","849.9","836.2","842.1","823.9","755.9","722.9","710.0","677.5","627.6","603.8","593.9","556.6","527.7","488.0","483.9","463.5","450.9"
"Austria","1078.7","1043.1","993.9","970.7","948.1","887.1","836.8","799.8","756.2","734.3","707.2","675.5","648.7","634.7","580.5","546.5","509.9","482.5"
