,"Existence of national screening program for breast cancer","Existence of national screening program for breast cancer","Existence of national screening program for breast cancer"
"Country","2019","2017","2015"
"Afghanistan","No","No","No"
"Albania","Yes","Yes","Yes"
"Algeria","Yes","Yes","Yes"
"Andorra","Yes","Yes","Yes"
"Angola","No","Yes","Yes"
"Antigua and Barbuda","No","No","Yes"
"Argentina","Yes","Yes","Yes"
"Armenia","Yes","Yes","Yes"
"Australia","Yes","Yes","Yes"
"Austria","Yes","Yes","Yes"
"Azerbaijan","No","No","No"
"Bahamas","No","No","Yes"
"Bahrain","Yes","Yes","Yes"
"Bangladesh","Yes","Yes","No"
"Barbados","No","No","No"
"Belarus","Yes","Yes","No"
"Belgium","Yes","Yes","Yes"
"Belize","No","No","Yes"
"Benin","No","Yes","No"
"Bhutan","Yes","Yes","Yes"
"Bolivia (Plurinational State of)","Don't know","Yes","Yes"
"Bosnia and Herzegovina","Yes","Yes","Yes"
"Botswana","No","No","No data received"
"Brazil","Yes","Yes","Yes"
"Brunei Darussalam","No","No","Yes"
"Bulgaria","Yes","No","No"
"Burkina Faso","Yes","Yes","No"
"Burundi","No","No","No"
"Cabo Verde","No","Yes","No data received"
"Cambodia","No","No","Yes"
"Cameroon","No","No","No"
"Canada","Yes","Yes","Yes"
"Central African Republic","No","Yes","No"
"Chad","No","No","Yes"
"Chile","Yes","Yes","Yes"
"China","Yes","Yes","Yes"
"Colombia","Yes","Yes","Yes"
"Comoros","Don't know","Don't know","No response"
"Congo","No","Yes","No"
"Cook Islands","Yes","Yes","No data received"
"Costa Rica","Yes","Yes","Yes"
"Côte d'Ivoire","No","Yes","No data received"
"Croatia","Yes","Yes","Yes"
"Cuba","Yes","Yes","Yes"
"Cyprus","Yes","Yes","Yes"
"Czechia","Yes","Yes","Yes"
"Democratic People's Republic of Korea","Yes","Yes","Yes"
"Democratic Republic of the Congo","No response","Yes","No data received"
"Denmark","Yes","Yes","Yes"
"Djibouti","Yes","Yes","No data received"
"Dominica","No","Yes","Yes"
"Dominican Republic","Yes","Yes","Yes"
"Ecuador","Yes","Yes","Yes"
"Egypt","Yes","Yes","Yes"
"El Salvador","Yes","Yes","Yes"
"Equatorial Guinea","No","No","No data received"
"Eritrea","No","Yes","Yes"
"Estonia","Yes","Yes","Yes"
"Eswatini","No","Yes","Yes"
"Ethiopia","Yes","No","No"
"Fiji","No","No","No"
"Finland","Yes","Yes","Yes"
"France","Yes","Yes","Yes"
"Gabon","No","Yes","No data received"
"Gambia","No","No response","Yes"
"Georgia","Yes","Yes","Yes"
"Germany","Yes","Yes","Yes"
"Ghana","No","Yes","Yes"
"Greece","Yes","Yes","Yes"
