Country name,Registered Labs,Labs with clinical tests,Labs with research tests
All countries,562,381,61
Argentina,3,3,
Australia,9,8,
Austria,2,2,
Bangladesh,1,1,
Belgium,7,5,1
Brazil,8,5,1
Canada,28,22,3
Chile,1,1,
China,3,2,
Colombia,3,2,
Cyprus,2,1,
Czech Republic,5,3,
Denmark,6,5,
Egypt,1,,
Estonia,1,1,
Finland,3,3,
France,7,2,
Germany,33,22,2
Greece,2,2,
Hong Kong,2,,1
Hungary,2,2,
India,22,9,2
Iran,7,3,
Israel,5,3,
Italy,8,5,1
Japan,1,,1
Latvia,1,,
Mexico,3,3,
Morocco,1,,1
Netherlands,10,8,1
New Zealand,2,1,1
Norway,2,2,
Poland,8,1,
Portugal,3,3,
Russia,1,1,
Singapore,2,1,1
Slovakia,2,2,
Slovenia,1,1,
South Africa,1,1,
South Korea,2,2,
Spain,21,17,1
Sweden,2,2,
Switzerland,7,5,
Taiwan,1,1,
Turkey,3,3,
United Arab Emirates,2,1,
United Kingdom,16,11,2
United States,298,203,42
