country,Existence of national screening program for breast cancer,Existence of national screening program for cervical cancer,Most widely used screening method in national cervical cancer screening program,Type of national cervical cancer screening program,Coverage of national cervical cancer screening program (%),Existence of national HPV vaccination programme,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Current health expenditure (CHE) per capita in PPP int$,Current health expenditure (CHE) per capita in US$,Out-of-pocket expenditure (OOP) per capita in PPP int$,Out-of-pocket expenditure (OOP) per capita in US$,continent,Breast cancer deaths per 100000 women,Breast cancer new cases per 100000 women,Gdp pc usd inflation adjusted,Gni pc constant 2010 u,Hdi human development index,Prostate cancer deaths per 100000 men,Prostate cancer new cases per 100000 men,last_edit,Computed tomography,Magnetic resonance imaging,Positron emission tomography,Gamma camera or nuclear medicine,Linear accelerator,Telecobalt unit,Radiotherapy,Registered Labs,Labs with clinical tests,Labs with research tests,General Male Cancer Mortality (15+) per 100k,General Female Cancer Mortality (15+) per 100k
Afghanistan,No,No,,,,No,11.8,174.7,67.1,132.8,50.7,Asia,35.4,34.4,572,544,0.479,14.4,11.5,"('Coverage of national cervical cancer screening program (%)', '2000')",0.2,0.1,0,0,0,0,0,NA,NA,NA,170.6,142
Albania,Yes,Yes,HPV test,Organized population-based screening,10 to 50,No,NA,NA,NA,0,0,Europe,12,28.6,4870,4880,0.764,21,36,"('Out-of-pocket expenditure (OOP) per capita in US$', '2000')",5.36,1.58,0,0,0,0.32,0.32,NA,NA,NA,186.4,138.2
Algeria,Yes,No,PAP smear,Organized population-based screening,10 to 50,No,6.4,974.8,258.5,317.3,84.1,Africa,14.4,31.1,4790,4700,0.745,7.57,11.7,"('Hdi human development index', '2015')",NA,NA,NA,NA,0.18,0.26,0.43,NA,NA,NA,100.7,97.3
Andorra,Yes,No,,,,Yes,10.3,5237.2,4040.8,2188,1688.1,,19.4,101,43900,NA,0.858,26.5,138,"('Gni pc constant 2010 u', '2000')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,Yes,No,Visual inspection,Opportunistic screening,Less than 10,No,2.8,185.9,114.5,63.4,39.1,Africa,19.8,22,3410,3320,0.533,30.3,26.8,"('Hdi human development index', '2015')",0.42,0.05,0,0,0,0.05,0.05,NA,NA,NA,112.5,90.9
Antigua and Barbuda,Yes,No,PAP smear,Opportunistic screening,,No,4.5,1070.8,673.9,374.6,235.7,,22.5,64.4,14200,12700,0.786,77.3,195,"('continent', '2000')",22.23,11.11,NA,NA,NA,NA,NA,NA,NA,NA,242.9,153.5
Argentina,Yes,Yes,HPV test,Organized population-based screening,,Yes,9.1,1916.5,1324.6,287.8,198.9,Americas,23.8,65.7,10400,10100,0.827,27,66.1,"('Coverage of national cervical cancer screening program (%)', '2000')",NA,NA,NA,NA,1.93,0.82,2.75,3,3,NA,198.5,136.7
Armenia,Yes,Yes,PAP smear,Organized population-based screening,10 to 50,Yes,10.4,1001.1,407.6,844.4,343.8,,22.6,60.7,4200,4320,0.743,16.4,33.8,"('continent', '2000')",3.02,2.35,0,1.34,0.34,1.01,1.34,NA,NA,NA,354.5,200.1
Australia,Yes,Yes,HPV test,Organized population-based screening,more than 50 but less than 70,Yes,9.2,4816.2,5331.8,874.2,967.8,Oceania,17.6,94.8,56100,54600,0.939,23.8,174,"('Hdi human development index', '2015')",NA,NA,NA,NA,4.03,NA,4.03,9,8,NA,170.2,118.9
Austria,Yes,Yes,PAP smear,Opportunistic screening,,Yes,10.4,5617.4,4939.9,1078.7,948.6,Europe,18.8,79.4,49100,48700,0.893,20.5,124,"('Coverage of national cervical cancer screening program (%)', '2000')",28.49,16.6,2.71,NA,5.41,NA,5.41,2,2,NA,184.2,123.6
