country,Computed tomography,Magnetic resonance imaging,Positron emission tomography,Gamma camera or nuclear medicine,Linear accelerator,Telecobalt unit,Radiotherapy,Registered Labs,Labs with clinical tests,Labs with research tests,Male,Female
Afghanistan,0.2,0.1,0.0,0.0,0.0,0.0,0.0,,,,170.6,142
Albania,5.36,1.58,0.0,0.0,0.0,0.32,0.32,,,,186.4,138.2
Algeria,,,,,0.18,0.26,0.43,,,,100.7,97.3
Andorra,,,,,,,,,,,No data,No data
Angola,0.42,0.05,0.0,0.0,0.0,0.05,0.05,,,,112.5,90.9
Antigua and Barbuda,22.23,11.11,,,,,,,,,242.9,153.5
Argentina,,,,,1.93,0.82,2.75,3.0,3.0,,198.5,136.7
Armenia,3.02,2.35,0.0,1.34,0.34,1.01,1.34,,,,354.5,200.1
Australia,,,,,4.03,,4.03,9.0,8.0,,170.2,118.9
Austria,28.49,16.6,2.71,,5.41,,5.41,2.0,2.0,,184.2,123.6
Azerbaijan,1.06,0.53,0.21,,1.59,,1.59,,,,192.5,108.4
Bahamas,13.25,2.65,0.0,0.0,2.65,0.0,2.65,,,,216.4,136.7
Bahrain,,,,,,,,,,,100.9,89.9
Bangladesh,,,,,0.04,0.08,0.12,1.0,1.0,,127.7,97.6
Barbados,7.03,0.0,0.0,3.51,0.0,3.51,3.51,,,,252,165.6
Belarus,6.2,2.57,0.0,2.57,0.64,2.46,3.1,,,,245.3,110.4
Belgium,,,,,8.19,0.09,8.28,7.0,5.0,1.0,204.3,129.5
Belize,12.05,3.01,0.0,0.0,0.0,0.0,0.0,,,,227.2,145.1
Benin,0.29,0.0,0.0,0.0,0.0,0.0,0.0,,,,94.2,94.5
Bhutan,1.33,1.33,0.0,0.0,0.0,0.0,0.0,,,,118.1,105.9
Bolivia (Plurinational State of),,,,,0.09,0.47,0.56,,,,107.3,130.9
Bosnia and Herzegovina,16.45,5.48,0.26,1.57,2.35,0.52,2.87,,,,207.5,115.3
Botswana,0.99,0.49,0.0,0.0,0.0,0.0,0.0,,,,138.5,87.7
Brazil,,,,,1.43,0.31,1.74,8.0,5.0,1.0,178.1,121.2
Brunei Darussalam,7.18,2.39,,,,,,,,,220.1,167.7
Bulgaria,,,,,0.69,1.38,2.08,,,,244.9,135
Burkina Faso,0.65,0.06,0.0,0.06,0.0,0.0,0.0,,,,121.8,125.3
Burundi,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,189.1,195.9
Cambodia,1.19,0.07,0.0,0.0,0.0,0.07,0.07,,,,211.3,145.1
Cameroon,0.63,0.04,0.0,0.04,0.0,0.13,0.13,,,,122.9,116.7
Canada,13.76,7.99,1.14,20.35,7.59,0.48,8.07,28.0,22.0,3.0,171,132.4
Cabo Verde,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,115.8,105.8
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,141.4,127.2
Chad,0.08,,,,,,,,,,117.5,115.4
Chile,12.6,4.37,0.0,,0.68,0.23,0.91,1.0,1.0,,194.3,136.5
China,,,,,0.73,0.37,1.1,3.0,2.0,,247.6,118.8
Colombia,,,,,0.75,0.7,1.45,3.0,2.0,,180,147.4
Comoros,1.36,0.0,0.0,0.0,0.0,0.0,0.0,,,,153.3,158.8
Congo,,,,,,,,,,,112.8,83.1
Cook Islands,,,,,,,,,,,No data,No data
